[{'act': 169344.23028918906, 'cost': 600.0}, {'act': 9918171.327725155, 'cost': 160.0}, {'act': 159399.5845912134, 'cost': 980.0}, {'act': 25538210.551454883, 'cost': 120.0}, {'act': 165083.57671291145, 'cost': 620.0}, {'act': 15158476.223093404, 'cost': 140.0}, {'act': 35055173.387245655, 'cost': 100.0}, {'act': 9395503.535341555, 'cost': 200.0}, {'act': 838171.1461167253, 'cost': 380.0}, {'act': 6037088.568553838, 'cost': 220.0}, {'act': 241698.7186478847, 'cost': 520.0}, {'act': 4530369.376916531, 'cost': 240.0}, {'act': 164027.48789111446, 'cost': 840.0}, {'act': 598694.5389301436, 'cost': 400.0}, {'act': 292654.77250036324, 'cost': 420.0}, {'act': 161306.4351758604, 'cost': 880.0}, {'act': 2197484.3910286287, 'cost': 300.0}, {'act': 1041464.191250663, 'cost': 340.0}, {'act': 3080833.9262039824, 'cost': 280.0}, {'act': 205347.13218022688, 'cost': 540.0}, {'act': 4276641.6685857205, 'cost': 260.0}, {'act': 177636.23357055965, 'cost': 560.0}, {'act': 164492.04260086152, 'cost': 640.0}, {'act': 261353.33283744438, 'cost': 500.0}, {'act': 9443466.01877117, 'cost': 180.0}, {'act': 35073071.845448986, 'cost': 120.0}, {'act': 163791.3773471666, 'cost': 880.0}, {'act': 23386456.814919047, 'cost': 140.0}, {'act': 1669453.244605881, 'cost': 460.0}, {'act': 6845906.177823653, 'cost': 260.0}] 
iterations = 0, 0.721, 0.995, 0.724, 30, 10443169760.15045, changed = True, neighbourhood = 0 
iterations = 1, 0.721, 0.995, 0.724, 30, 2660918294.920458, changed = True, neighbourhood = 0 
iterations = 2, 0.807, 0.996, 0.81, 30, 4227055172.4250565, changed = True, neighbourhood = 0 
iterations = 3, 0.859, 0.996, 0.862, 30, 4985743956.773209, changed = True, neighbourhood = 0 
iterations = 4, 0.858, 0.996, 0.862, 30, 2721353634.0546107, changed = True, neighbourhood = 0 
iterations = 5, 0.876, 0.996, 0.879, 30, 3097608037.4407344, changed = True, neighbourhood = 0 
iterations = 6, 0.909, 0.996, 0.912, 30, 3923774283.4964066, changed = True, neighbourhood = 0 
iterations = 7, 0.896, 0.996, 0.9, 30, 3284748078.906819, changed = True, neighbourhood = 0 
iterations = 8, 0.896, 0.996, 0.9, 30, 3080186731.1564975, changed = True, neighbourhood = 0 
iterations = 9, 0.896, 0.996, 0.9, 30, 2877264274.3186655, changed = True, neighbourhood = 0 
iterations = 10, 0.883, 0.996, 0.886, 30, 2795152657.8330874, changed = True, neighbourhood = 0 
iterations = 11, 0.883, 0.996, 0.886, 30, 2756583171.844058, changed = True, neighbourhood = 0 
iterations = 12, 0.883, 0.996, 0.886, 30, 2718532594.3438354, changed = True, neighbourhood = 0 
iterations = 13, 0.883, 0.996, 0.886, 30, 2787942181.8208084, changed = True, neighbourhood = 0 
iterations = 14, 0.883, 0.996, 0.886, 30, 2798930850.2199507, changed = True, neighbourhood = 0 
iterations = 15, 0.883, 0.996, 0.886, 30, 2763382273.0598736, changed = True, neighbourhood = 0 
iterations = 16, 0.883, 0.996, 0.886, 30, 2727661078.784436, changed = True, neighbourhood = 0 
iterations = 17, 0.883, 0.996, 0.886, 30, 2735738649.7576137, changed = True, neighbourhood = 0 
iterations = 18, 0.883, 0.996, 0.886, 30, 2732647791.2309346, changed = True, neighbourhood = 0 
iterations = 19, 0.883, 0.996, 0.886, 30, 2661738376.843439, changed = True, neighbourhood = 0 
iterations = 20, 0.883, 0.996, 0.886, 30, 2674821928.9688473, changed = True, neighbourhood = 0 
iterations = 21, 0.883, 0.996, 0.886, 30, 2822393814.794563, changed = True, neighbourhood = 0 
iterations = 22, 0.883, 0.996, 0.886, 30, 2625565566.732097, changed = True, neighbourhood = 0 
iterations = 23, 0.883, 0.996, 0.886, 30, 2625565566.732097, changed = True, neighbourhood = 0 
iterations = 24, 0.883, 0.996, 0.886, 30, 2652063126.32808, changed = True, neighbourhood = 0 
iterations = 25, 0.883, 0.996, 0.886, 30, 2578136200.4374475, changed = True, neighbourhood = 0 
iterations = 26, 0.883, 0.996, 0.886, 30, 2523270580.9567556, changed = True, neighbourhood = 0 
iterations = 27, 0.883, 0.996, 0.886, 30, 2573779235.916477, changed = True, neighbourhood = 0 
iterations = 28, 0.883, 0.996, 0.886, 30, 2656506793.5691614, changed = True, neighbourhood = 0 
iterations = 29, 0.883, 0.996, 0.886, 30, 2531690197.1150627, changed = True, neighbourhood = 0 
iterations = 30, 0.883, 0.996, 0.886, 30, 2533834392.07551, changed = True, neighbourhood = 0 
iterations = 31, 0.883, 0.996, 0.886, 30, 2776220355.007771, changed = True, neighbourhood = 0 
iterations = 32, 0.883, 0.996, 0.886, 30, 2585412502.8064528, changed = True, neighbourhood = 0 
iterations = 33, 0.888, 0.996, 0.891, 30, 2682788028.3123155, changed = True, neighbourhood = 0 
iterations = 34, 0.888, 0.996, 0.891, 30, 2603645657.304631, changed = True, neighbourhood = 0 
iterations = 35, 0.888, 0.996, 0.891, 30, 2704302573.669035, changed = True, neighbourhood = 0 
iterations = 36, 0.888, 0.996, 0.891, 30, 2599909074.989267, changed = True, neighbourhood = 0 
iterations = 37, 0.888, 0.996, 0.891, 30, 2584498101.5340495, changed = True, neighbourhood = 0 
iterations = 38, 0.888, 0.996, 0.891, 30, 2580271862.3685455, changed = True, neighbourhood = 0 
iterations = 39, 0.888, 0.996, 0.891, 30, 2592751924.793096, changed = True, neighbourhood = 0 
iterations = 40, 0.888, 0.996, 0.891, 30, 2536376798.2787285, changed = True, neighbourhood = 0 
iterations = 41, 0.888, 0.996, 0.891, 30, 2542811427.63225, changed = True, neighbourhood = 0 
iterations = 42, 0.888, 0.996, 0.891, 30, 2531730574.080889, changed = True, neighbourhood = 0 
iterations = 43, 0.888, 0.996, 0.891, 30, 2530986611.0205703, changed = True, neighbourhood = 0 
iterations = 44, 0.888, 0.996, 0.891, 30, 2484659154.456062, changed = True, neighbourhood = 0 
iterations = 45, 0.888, 0.996, 0.891, 30, 2502062170.380534, changed = True, neighbourhood = 0 
iterations = 46, 0.888, 0.996, 0.891, 30, 2490497812.495919, changed = True, neighbourhood = 0 
iterations = 47, 0.888, 0.996, 0.891, 30, 2657884043.0269327, changed = True, neighbourhood = 0 
iterations = 48, 0.888, 0.996, 0.891, 30, 2561719120.9214797, changed = True, neighbourhood = 0 
iterations = 49, 0.888, 0.996, 0.891, 30, 2569394890.8353715, changed = True, neighbourhood = 0 
[{'act': 644876.5836864616, 'cost': 400.0}, {'act': 15224335.381971827, 'cost': 140.0}, {'act': 323678.426988657, 'cost': 460.0}, {'act': 37075271.21301642, 'cost': 100.0}, {'act': 26660347.65738537, 'cost': 120.0}, {'act': 6138123.929780302, 'cost': 200.0}, {'act': 227256.70312554546, 'cost': 500.0}, {'act': 9092691.693617634, 'cost': 180.0}, {'act': 156086.11794491936, 'cost': 840.0}, {'act': 2309354.7019537566, 'cost': 300.0}, {'act': 216498.4639461813, 'cost': 540.0}, {'act': 179273.65110150567, 'cost': 560.0}, {'act': 590414.5776073557, 'cost': 420.0}, {'act': 10763423.417535946, 'cost': 160.0}, {'act': 2125197.0608259304, 'cost': 320.0}, {'act': 4066077.9618728184, 'cost': 240.0}, {'act': 236176.71196497467, 'cost': 480.0}, {'act': 4901864.864213043, 'cost': 220.0}, {'act': 165232.43205451808, 'cost': 620.0}, {'act': 1239874.1481445523, 'cost': 340.0}, {'act': 411029.63412349904, 'cost': 440.0}, {'act': 171386.43491082953, 'cost': 580.0}, {'act': 814464.6999586084, 'cost': 380.0}, {'act': 3302366.059817861, 'cost': 260.0}, {'act': 161832.44222104666, 'cost': 640.0}, {'act': 160234.20449814436, 'cost': 920.0}, {'act': 36015639.07006341, 'cost': 120.0}, {'act': 23243521.760929234, 'cost': 140.0}, {'act': 7091102.462239921, 'cost': 220.0}, {'act': 16732570.803736866, 'cost': 180.0}] 
iterations = 0, 0.721, 0.996, 0.724, 30, 10809267551.656357, changed = True, neighbourhood = 0 
