[{'id': '72_1', 'cost': 1460, 'act': 5303, 'utils': {'Role 1': 0.01, 'Role 2': 0.0}}, {'id': '12_1', 'cost': 260, 'act': 5520, 'utils': {'Role 1': 0.07, 'Role 2': 0.02}}, {'id': '11_1', 'cost': 240, 'act': 5574, 'utils': {'Role 1': 0.09, 'Role 2': 0.01}}, {'id': '3_1', 'cost': 80, 'act': 6215, 'utils': {'Role 1': 0.32, 'Role 2': 0.01}}, {'id': '7_4', 'cost': 220, 'act': 5637, 'utils': {'Role 1': 0.13, 'Role 2': 0.03}}, {'id': '1_1', 'cost': 40, 'act': 63826, 'utils': {'Role 1': 0.95, 'Role 2': 0.01}}, {'id': '6_1', 'cost': 140, 'act': 5740, 'utils': {'Role 1': 0.15, 'Role 2': 0.02}}, {'id': '2_1', 'cost': 60, 'act': 8964, 'utils': {'Role 1': 0.49, 'Role 2': 0.0}}, {'id': '4_1', 'cost': 100, 'act': 5791, 'utils': {'Role 1': 0.22, 'Role 2': 0.01}}] 
iterations = 2, 0.0, 0.014, 0.028, 2, 1677760.0, changed = True, neighbourhood = 21 
iterations = 4, 0.001, 0.014, 0.089, 3, 5014640.0, changed = True, neighbourhood = 21 
iterations = 6, 0.017, 0.113, 0.149, 4, 8477900.0, changed = True, neighbourhood = 20 
iterations = 8, 0.013, 0.062, 0.21, 8, 11948030.0, changed = True, neighbourhood = 21 
iterations = 10, 0.003, 0.012, 0.27, 3, 15130680.0, changed = True, neighbourhood = 20 
iterations = 12, 0.01, 0.085, 0.119, 4, 6682320.0, changed = True, neighbourhood = 24 
iterations = 14, 0.026, 0.147, 0.179, 6, 9859200.0, changed = True, neighbourhood = 23 
iterations = 16, 0.017, 0.071, 0.24, 6, 13157440.0, changed = True, neighbourhood = 22 
iterations = 18, 0.054, 0.179, 0.3, 7, 16626740.0, changed = True, neighbourhood = 20 
iterations = 20, 0.022, 0.061, 0.361, 6, 19798520.0, changed = True, neighbourhood = 21 
iterations = 22, 0.063, 0.149, 0.421, 6, 23194710.0, changed = True, neighbourhood = 19 
iterations = 24, 0.073, 0.152, 0.482, 7, 26629850.0, changed = True, neighbourhood = 19 
iterations = 26, 0.089, 0.165, 0.542, 5, 29822940.0, changed = True, neighbourhood = 22 
iterations = 28, 0.067, 0.111, 0.603, 7, 33157430.0, changed = True, neighbourhood = 22 
iterations = 30, 0.059, 0.089, 0.663, 5, 35636100.0, changed = True, neighbourhood = 19 
iterations = 32, 0.097, 0.133, 0.724, 7, 39163370.0, changed = True, neighbourhood = 21 
iterations = 34, 0.069, 0.095, 0.728, 7, 39108590.0, changed = True, neighbourhood = 12 
iterations = 36, 0.031, 0.042, 0.732, 5, 39171360.0, changed = True, neighbourhood = 11 
iterations = 38, 0.08, 0.109, 0.736, 7, 39409110.0, changed = True, neighbourhood = 14 
iterations = 40, 0.033, 0.044, 0.74, 6, 39624000.0, changed = True, neighbourhood = 12 
iterations = 42, 0.135, 0.181, 0.744, 9, 39872190.0, changed = True, neighbourhood = 12 
iterations = 44, 0.116, 0.155, 0.748, 11, 40605490.0, changed = True, neighbourhood = 12 
iterations = 46, 0.086, 0.115, 0.748, 11, 40548170.0, changed = True, neighbourhood = 15 
iterations = 48, 0.086, 0.115, 0.748, 10, 40532010.0, changed = True, neighbourhood = 6 
iterations = 49, 0.086, 0.115, 0.748, 10, 40532010.0, changed = False, neighbourhood = 13 
iterations = 50, 0.086, 0.115, 0.748, 10, 40506890.0, changed = True, neighbourhood = 11 
