[{'id': '1_7_1_4_1_1', 'cost': 300, 'act': 2403231, 'utils': {'Role 0': 0.0, 'Role 3': 0.04, 'Role 1': 0.3, 'Role 2': 0.91, 'Role 4': 0.9, 'Role 5': 0.07}}, {'id': '1_6_1_4_1_1', 'cost': 280, 'act': 3062187, 'utils': {'Role 0': 0.0, 'Role 3': 0.03, 'Role 1': 0.28, 'Role 2': 0.96, 'Role 4': 0.83, 'Role 5': 0.06}}, {'id': '1_5_1_4_1_1', 'cost': 260, 'act': 4087694, 'utils': {'Role 0': 0.0, 'Role 3': 0.03, 'Role 1': 0.23, 'Role 2': 0.98, 'Role 4': 0.71, 'Role 5': 0.05}}, {'id': '7_13_1_7_1_1', 'cost': 600, 'act': 219086, 'utils': {'Role 0': 0.0, 'Role 3': 0.05, 'Role 1': 0.06, 'Role 2': 0.73, 'Role 4': 0.78, 'Role 5': 0.1}}, {'id': '1_4_1_3_1_1', 'cost': 220, 'act': 5647096, 'utils': {'Role 0': 0.0, 'Role 3': 0.02, 'Role 1': 0.19, 'Role 2': 0.97, 'Role 4': 0.76, 'Role 5': 0.04}}, {'id': '1_8_1_5_1_1', 'cost': 340, 'act': 1199840, 'utils': {'Role 0': 0.0, 'Role 3': 0.04, 'Role 1': 0.37, 'Role 2': 0.98, 'Role 4': 0.9, 'Role 5': 0.09}}, {'id': '1_5_1_3_1_1', 'cost': 240, 'act': 5032837, 'utils': {'Role 0': 0.0, 'Role 3': 0.03, 'Role 1': 0.21, 'Role 2': 0.88, 'Role 4': 0.85, 'Role 5': 0.05}}, {'id': '1_7_1_5_1_1', 'cost': 320, 'act': 1800151, 'utils': {'Role 0': 0.0, 'Role 3': 0.04, 'Role 1': 0.32, 'Role 2': 0.96, 'Role 4': 0.79, 'Role 5': 0.08}}, {'id': '4_11_1_7_1_1', 'cost': 500, 'act': 249664, 'utils': {'Role 0': 0.0, 'Role 3': 0.06, 'Role 1': 0.12, 'Role 2': 0.9, 'Role 4': 0.8, 'Role 5': 0.1}}, {'id': '6_13_1_7_1_1', 'cost': 580, 'act': 227756, 'utils': {'Role 0': 0.0, 'Role 3': 0.06, 'Role 1': 0.08, 'Role 2': 0.82, 'Role 4': 0.86, 'Role 5': 0.11}}, {'id': '1_3_1_3_1_1', 'cost': 200, 'act': 9156099, 'utils': {'Role 0': 0.0, 'Role 3': 0.02, 'Role 1': 0.15, 'Role 2': 0.99, 'Role 4': 0.57, 'Role 5': 0.03}}, {'id': '4_11_1_8_1_1', 'cost': 520, 'act': 230259, 'utils': {'Role 0': 0.0, 'Role 3': 0.05, 'Role 1': 0.11, 'Role 2': 0.87, 'Role 4': 0.68, 'Role 5': 0.1}}, {'id': '7_12_1_8_1_2', 'cost': 620, 'act': 180858, 'utils': {'Role 0': 0.0, 'Role 3': 0.06, 'Role 1': 0.07, 'Role 2': 0.82, 'Role 4': 0.72, 'Role 5': 0.11}}, {'id': '1_3_1_2_1_1', 'cost': 180, 'act': 10335850, 'utils': {'Role 0': 0.0, 'Role 3': 0.01, 'Role 1': 0.13, 'Role 2': 0.9, 'Role 4': 0.78, 'Role 5': 0.03}}, {'id': '1_10_1_7_1_1', 'cost': 420, 'act': 330295, 'utils': {'Role 0': 0.0, 'Role 3': 0.05, 'Role 1': 0.45, 'Role 2': 0.92, 'Role 4': 0.78, 'Role 5': 0.1}}, {'id': '1_10_1_6_1_1', 'cost': 400, 'act': 364601, 'utils': {'Role 0': 0.0, 'Role 3': 0.06, 'Role 1': 0.46, 'Role 2': 0.94, 'Role 4': 0.9, 'Role 5': 0.1}}, {'id': '1_11_1_7_1_1', 'cost': 440, 'act': 260832, 'utils': {'Role 0': 0.0, 'Role 3': 0.06, 'Role 1': 0.45, 'Role 2': 0.84, 'Role 4': 0.76, 'Role 5': 0.1}}, {'id': '1_2_1_2_1_1', 'cost': 160, 'act': 15107364, 'utils': {'Role 0': 0.0, 'Role 3': 0.01, 'Role 1': 0.09, 'Role 2': 0.99, 'Role 4': 0.56, 'Role 5': 0.02}}, {'id': '1_9_1_6_1_1', 'cost': 380, 'act': 481240, 'utils': {'Role 0': 0.0, 'Role 3': 0.04, 'Role 1': 0.39, 'Role 2': 0.94, 'Role 4': 0.8, 'Role 5': 0.09}}, {'id': '1_2_1_1_1_1', 'cost': 140, 'act': 24219804, 'utils': {'Role 0': 0.0, 'Role 3': 0.01, 'Role 1': 0.07, 'Role 2': 0.73, 'Role 4': 0.83, 'Role 5': 0.02}}, {'id': '1_1_1_1_1_1', 'cost': 120, 'act': 35775063, 'utils': {'Role 0': 0.0, 'Role 3': 0.01, 'Role 1': 0.05, 'Role 2': 0.97, 'Role 4': 0.54, 'Role 5': 0.01}}] 

iterations = 2, 0.021, 0.215, 0.1, 4, 208078140.0, changed = True, neighbourhood = 291 
iterations = 4, 0.056, 0.282, 0.2, 5, 333227120.0, changed = True, neighbourhood = 273 
iterations = 6, 0.127, 0.407, 0.312, 9, 456674780.0, changed = True, neighbourhood = 302 
iterations = 8, 0.147, 0.404, 0.364, 11, 492031880.0, changed = True, neighbourhood = 401 
iterations = 10, 0.186, 0.421, 0.441, 12, 513804070.0, changed = True, neighbourhood = 339 
iterations = 12, 0.223, 0.446, 0.5, 12, 532866660.0, changed = True, neighbourhood = 292 
iterations = 14, 0.223, 0.399, 0.559, 12, 504561770.0, changed = True, neighbourhood = 339 
iterations = 16, 0.211, 0.449, 0.471, 14, 480577190.0, changed = True, neighbourhood = 473 
